idsismo,idcountry,mag,place,time,tsunami,lng,lat,depth,danger
1,3,4.3,"35 km S of Shizunai-furukawach?, Japan",2010-01-06 20:39:40,0,142.291,42.017,70.2,1
2,3,4.4,"105 km NE of Hasaki, Japan",2010-01-07 01:36:07,0,141.775,36.294,37.5,1
3,3,4.2,"99 km NE of Hasaki, Japan",2010-01-07 13:24:11,0,141.746,36.235,37.6,1
4,3,4.3,"Izu Islands, Japan region",2010-01-07 21:20:23,0,142.235,29.167,23.4,1
5,3,3.8,"42 km SW of Nemuro, Japan",2010-01-11 23:46:28,0,145.272,43.014,101.4,1
6,3,4.2,"near the south coast of western Honshu, Japan",2010-01-12 19:51:51,0,136.867,33.972,352.0,1
7,3,4.0,"67 km ESE of Kitaibaraki, Japan",2010-01-13 08:54:37,0,141.453,36.575,10.0,1
8,3,5.0,"51 km E of Shizunai-furukawach?, Japan",2010-01-14 18:46:25,0,142.991,42.338,60.1,1
9,3,5.6,"206 km SE of ?funato, Japan",2010-01-17 06:04:36,0,143.599,37.938,7.0,1
10,3,4.5,"101 km ENE of Hasaki, Japan",2010-01-17 13:09:41,0,141.882,36.067,17.0,1
11,3,4.1,"286 km SSE of Katsuura, Japan",2010-01-17 22:57:46,0,141.686,32.832,35.0,1
12,3,4.3,"123 km E of Miyako, Japan",2010-01-19 19:26:49,0,143.381,39.686,29.7,1
13,3,4.1,"8 km SE of It?, Japan",2010-01-20 17:59:23,0,139.157,34.922,17.4,1
14,3,4.5,"10 km NE of Nagai, Japan",2010-01-21 09:49:01,0,140.132,38.162,116.5,1
15,3,4.5,"100 km SE of Ishinomaki, Japan",2010-01-22 17:32:25,0,142.121,37.781,40.7,1
16,3,4.3,"24 km SW of Date, Japan",2010-01-22 19:05:04,0,140.651,42.321,130.1,1
17,3,4.2,"21 km ESE of Mutsu, Japan",2010-01-24 07:19:10,0,141.46,41.238,47.5,1
18,3,4.4,"40 km SE of Shizunai-furukawach?, Japan",2010-01-27 16:04:13,0,142.657,42.035,73.6,1
19,3,4.9,"Bonin Islands, Japan region",2010-01-27 20:30:33,0,140.663,28.624,164.4,1
20,3,4.1,"Bonin Islands, Japan region",2010-01-28 15:07:21,0,141.661,28.597,57.6,1
21,3,4.4,"61 km SE of ?funato, Japan",2010-01-28 15:25:08,0,142.21,38.67,63.7,1
22,3,4.3,"54 km SE of ?funato, Japan",2010-01-28 15:29:23,0,142.215,38.771,44.6,1
23,3,4.7,"Izu Islands, Japan region",2010-01-30 06:21:10,0,142.561,29.08,44.3,1
24,3,4.2,"150 km ENE of Hachinohe, Japan",2010-01-30 21:26:50,0,143.16,40.981,46.2,1
25,3,4.7,"19 km NNW of Kakunodatemachi, Japan",2010-02-04 12:24:14,0,140.478,39.755,144.6,1
26,3,5.2,"285 km SSE of Preobrazheniye, Russia",2010-02-05 06:48:11,0,135.626,40.674,382.5,1
27,3,4.4,"244 km SE of Shing?, Japan",2010-02-06 00:50:34,0,137.451,31.914,422.2,1
