idsismo,idcountry,mag,place,time,tsunami,lng,lat,depth,danger
1,1,3.24,"11km N of Delta, B.C., MX",2010-01-01 02:33:42,0,-115.2028333,32.4538333,5.995,1
2,1,3.0,"10 km SW of Fairview, Wyoming",2010-01-01 04:13:44,0,-111.058,42.616,5.0,1
3,1,3.6,"10 km ESE of Maupin, Oregon",2010-01-02 16:36:45,0,-120.9555,45.137,14.468,1
4,1,3.3,"19 km SE of Sleepy Hollow, Wyoming",2010-01-03 18:53:01,0,-105.271,44.099,0.0,1
5,1,3.81,"25km E of Primo Tapia, B.C., MX",2010-01-04 00:02:17,0,-116.655,32.1915,5.631,1
6,1,4.12,"1 km N of Myers Flat, California",2010-01-04 14:24:54,0,-123.8685,40.2773333,29.763,1
7,1,4.1,"8 km S of Cedar City, Utah",2010-01-04 16:24:02,0,-113.0551667,37.5996667,9.08,1
8,1,3.39,"9km SW of Searles Valley, CA",2010-01-04 20:07:59,0,-117.4821667,35.7116667,8.636,1
9,1,3.12,"10km SW of Searles Valley, CA",2010-01-04 20:11:25,0,-117.485,35.7115,9.196,1
10,1,3.28,"9 km S of Cedar City, Utah",2010-01-05 04:55:24,0,-113.0591667,37.5906667,14.57,1
11,1,3.3,"25 km ESE of Wright, Wyoming",2010-01-05 19:42:26,0,-105.202,43.661,0.0,1
12,1,4.1,"109 km WNW of La Libertad, Mexico",2010-01-07 05:49:21,0,-113.739,30.299,10.0,1
13,1,4.05,"11 km ENE of Milpitas, California",2010-01-07 18:09:35,0,-121.7986667,37.4811667,10.753,1
14,1,3.73,"11 km N of East Foothills, California",2010-01-08 19:48:50,0,-121.793,37.4821667,9.373,1
15,1,3.4,"33 km ESE of Wright, Wyoming",2010-01-09 18:10:53,0,-105.111,43.637,0.0,1
16,1,3.3,"31 km SSE of Sleepy Hollow, Wyoming",2010-01-09 20:59:48,0,-105.235,43.992,0.0,1
17,1,3.2,"34 km NE of Edgerton, Wyoming",2010-01-09 21:03:37,0,-106.003,43.663,0.0,1
18,1,6.5,"37 km WNW of Ferndale, California",2010-01-10 00:27:39,0,-124.6925,40.652,28.737,1
19,1,3.46,"50 km WSW of Ferndale, California",2010-01-10 00:42:38,0,-124.8288333,40.4203333,17.72,1
20,1,3.71,"41 km W of Ferndale, California",2010-01-10 00:43:15,0,-124.752,40.6203333,28.289,1
21,1,3.32,"29 km WNW of Ferndale, California",2010-01-10 00:48:38,0,-124.5876667,40.6786667,23.44,1
22,1,3.15,"33 km WNW of Ferndale, California",2010-01-10 00:51:00,0,-124.6453333,40.6505,25.91,1
23,1,3.39,"42 km W of Ferndale, California",2010-01-10 01:06:17,0,-124.7698333,40.5905,24.28,1
24,1,4.41,"44 km W of Ferndale, California",2010-01-10 02:21:39,0,-124.7828333,40.6086667,20.38,1
25,1,3.04,"18km NE of Olancha, CA",2010-01-10 02:55:06,0,-117.8686667,36.4013333,3.932,1
26,1,3.97,"37 km W of Ferndale, California",2010-01-10 03:07:01,0,-124.699,40.6213333,25.16,1
27,1,4.12,"43 km SW of Ferndale, California",2010-01-10 06:32:17,0,-124.632,40.3086667,16.52,1
28,1,4.08,"6km NNE of Delta, B.C., MX",2010-01-10 06:35:53,0,-115.1755,32.4033333,5.986,1
29,1,3.91,"34 km W of Ferndale, California",2010-01-10 11:48:31,0,-124.664,40.636,23.3,1
30,1,3.03,"8 km NNE of Cambria, California",2010-01-10 16:07:28,0,-121.0366667,35.6341667,4.814,1
31,1,4.05,"51 km WSW of Ferndale, California",2010-01-11 06:44:37,0,-124.8486667,40.4626667,23.561,1
32,1,3.12,"36 km WNW of Ferndale, CA",2010-01-11 11:21:30,0,-124.6733333,40.657,26.15,1
33,1,3.12,"4km N of Banning, CA",2010-01-11 23:24:00,0,-116.8771667,33.9653333,8.642,1
34,1,3.24,"4km N of Banning, CA",2010-01-11 23:33:52,0,-116.8775,33.9658333,9.412,1
35,1,4.27,"4km N of Banning, CA",2010-01-12 02:36:08,0,-116.8763333,33.9663333,8.782,1
36,1,3.18,"52 km W of Ferndale, California",2010-01-12 02:53:36,0,-124.882,40.5075,14.078,1
37,1,3.15,"55 km W of Ferndale, California",2010-01-13 06:34:54,0,-124.9175,40.5255,16.261,1
38,1,3.7,"36 km NE of Seeley Lake, Montana",2010-01-13 11:17:55,0,-113.174,47.431,20.8,1
39,1,3.33,"36 km WNW of Ferndale, California",2010-01-13 17:36:27,0,-124.6865,40.6505,24.508,1
40,1,3.3,"5 km SE of Jones, Oklahoma",2010-01-14 10:05:34,0,-97.238,35.539,5.0,1
41,1,3.48,"10km E of Coso Junction, CA",2010-01-14 12:10:05,0,-117.8355,36.0378333,0.053,1
42,1,3.22,"10km E of Coso Junction, CA",2010-01-14 12:57:12,0,-117.834,36.0396667,0.373,1
43,1,3.4,"10km E of Coso Junction, CA",2010-01-14 13:37:00,0,-117.8363333,36.038,0.353,1
44,1,3.1,"23 km SE of Wright, Wyoming",2010-01-14 20:08:35,0,-105.321,43.579,0.0,1
45,1,3.05,"10km SW of Niland, CA",2010-01-15 02:01:34,0,-115.6051667,33.183,2.543,1
46,1,3.42,"10km NW of Calipatria, CA",2010-01-15 02:12:56,0,-115.6056667,33.1775,1.773,1
47,1,3.52,"11km NW of Calipatria, CA",2010-01-15 02:13:52,0,-115.6083333,33.1793333,1.803,1
48,1,4.41,"10km E of Coso Junction, CA",2010-01-15 08:23:27,0,-117.843,36.031,0.103,1
49,1,3.53,"10km E of Coso Junction, CA",2010-01-15 09:28:18,0,-117.8385,36.032,-0.327,1
50,1,3.61,"10km E of Coso Junction, CA",2010-01-15 10:29:58,0,-117.8398333,36.0291667,0.443,1
51,1,3.4,"9km E of Coso Junction, CA",2010-01-15 13:39:31,0,-117.8483333,36.036,0.013,1
52,1,3.1,"21km WSW of Alberto Oviedo Mota, B.C., MX",2010-01-15 13:42:17,0,-115.3745,32.1468333,5.962,1
53,1,3.8,"3 km ENE of Jones, Oklahoma",2010-01-15 15:18:26,0,-97.25,35.576,8.0,1
54,1,3.7,"3 km ESE of Jones, Oklahoma",2010-01-15 15:27:02,0,-97.249,35.555,8.0,1
55,1,3.43,"9km E of Coso Junction, CA",2010-01-16 06:36:18,0,-117.8443333,36.0376667,0.123,1
56,1,4.28,"4km W of Beaumont, CA",2010-01-16 12:03:25,0,-117.0231667,33.9321667,13.143,1
57,1,3.19,"21km WSW of Alberto Oviedo Mota, B.C., MX",2010-01-17 08:00:57,0,-115.377,32.1578333,5.995,1
58,1,3.0,"6 km ESE of Jones, Oklahoma",2010-01-17 13:33:43,0,-97.221,35.553,5.0,1
59,1,3.8,"30 km S of Segundo, Colorado",2010-01-18 08:41:07,0,-104.819,36.854,5.0,1
60,1,3.5,"6 km SSE of Topaz Ranch Estates, Nevada",2010-01-18 09:03:19,0,-119.4711,38.6825,11.4,1
61,1,3.09,"15 km SE of West Yellowstone, Montana",2010-01-18 18:03:13,0,-110.9666667,44.5583333,11.46,1
62,1,3.2,"21 km ENE of Wright, Wyoming",2010-01-18 19:08:13,0,-105.24,43.803,0.0,1
63,1,3.38,"15 km SE of West Yellowstone, Montana",2010-01-19 03:39:38,0,-110.9668333,44.5633333,11.16,1
64,1,3.07,"15 km SE of West Yellowstone, Montana",2010-01-19 04:42:13,0,-110.9618333,44.5668333,10.79,1
65,1,3.27,"15 km SE of West Yellowstone, Montana",2010-01-19 16:48:30,0,-110.9613333,44.5668333,10.37,1
66,1,3.6,"23 km E of Wright, Wyoming",2010-01-19 20:04:26,0,-105.202,43.757,0.0,1
67,1,3.63,"15 km SE of West Yellowstone, Montana",2010-01-19 21:32:30,0,-110.9695,44.5611667,10.29,1
68,1,3.22,"15 km SE of West Yellowstone, Montana",2010-01-20 01:35:35,0,-110.965,44.5593333,11.25,1
69,1,3.42,"15 km SE of West Yellowstone, Montana",2010-01-20 04:41:02,0,-110.9603333,44.5676667,10.77,1
70,1,3.37,"24km NE of Pine Valley, CA",2010-01-20 11:51:46,0,-116.3606667,32.9901667,4.497,1
