time,lat,lng,depth,mag,place,country
2012/01/02 21:11:29,31.6956667,-115.9438333,8.626,3.0,"59km E of Maneadero, B.C., MX",USA
2012/01/03 10:56:58,35.536,-96.75,3.6,3.4,"8 km NW of Prague, Oklahoma",USA
2012/01/03 14:18:56,33.1946667,-119.4491667,18.022,4.14,"7km SE of San Nicolas Is., CA",USA
2012/01/04 20:59:56,43.668,-105.197,0.0,3.3,"25 km ESE of Wright, Wyoming",USA
2012/01/05 07:20:10,42.548,-111.213,5.0,3.4,"14 km ENE of Georgetown, Idaho",USA
2012/01/05 20:29:15,43.661,-105.238,0.0,3.1,"22 km ESE of Wright, Wyoming",USA
2012/01/05 23:13:30,43.703,-105.276,0.0,3.1,"18 km ESE of Wright, Wyoming",USA
2012/01/06 02:47:51,34.002,-116.3371667,4.362,3.08,"15km S of Joshua Tree, CA",USA
2012/01/06 06:50:10,36.0025,-117.9078333,4.972,3.25,"6km SE of Coso Junction, CA",USA
2012/01/06 16:58:54,33.7306667,-116.0543333,4.488,3.47,"12km ENE of Coachella, CA",USA
2012/01/06 17:11:10,25.431,-109.565,10.0,4.1,"44 km SW of Campo Pesquero el Colorado, Mexico",USA
2012/01/06 21:04:43,43.764,-105.151,0.0,3.1,"27 km E of Wright, Wyoming",USA
2012/01/08 01:59:54,33.733,-116.0571667,6.388,3.51,"12km ENE of Coachella, CA",USA
2012/01/08 09:19:59,32.1231667,-115.2548333,9.963,3.14,"14km SW of Alberto Oviedo Mota, B.C., MX",USA
2012/01/08 12:39:36,42.898,-110.793,5.0,3.0,"9 km ENE of Turnerville, Wyoming",USA
2012/01/08 19:11:12,34.826,-110.942,5.0,3.2,"28 km SW of Winslow West, Arizona",USA
2012/01/10 01:28:17,25.57,-109.735,5.0,4.1,"47 km WSW of Campo Pesquero el Colorado, Mexico",USA
2012/01/10 19:05:39,43.724,-105.164,0.0,3.4,"26 km E of Wright, Wyoming",USA
2012/01/11 04:09:52,40.429,-124.3535,26.329,3.18,"18 km SSW of Ferndale, California",USA
2012/01/14 01:42:10,36.659,-121.2775,3.302,3.15,"15 km SSE of Tres Pinos, California",USA
2012/01/15 05:50:39,32.6158333,-115.7491667,3.303,3.15,"16km WNW of Progreso, B.C., MX",USA
2012/01/15 21:33:47,43.566,-105.258,0.0,3.3,"27 km SE of Wright, Wyoming",USA
2012/01/16 13:41:10,43.487,-102.996,5.0,3.0,"25 km E of Buffalo Gap, South Dakota",USA
2012/01/16 21:02:28,43.782,-105.31,0.0,3.1,"15 km ENE of Wright, Wyoming",USA
2012/01/17 09:55:00,40.528,-124.7825,23.579,4.28,"44 km W of Ferndale, California",USA
2012/01/17 13:26:43,35.378,-96.546,3.6,3.0,"9 km WNW of Cromwell, Oklahoma",USA
2012/01/18 13:31:42,32.4611667,-115.26,1.527,4.19,"13km NNW of Delta, B.C., MX",USA
2012/01/18 19:09:38,43.747,-105.32,0.0,3.2,"13 km E of Wright, Wyoming",USA
2012/01/18 22:30:54,32.372,-97.487,5.0,3.3,"9 km SSE of Godley, Texas",USA
2012/01/19 00:57:59,38.7863333,-122.7696667,1.509,3.13,"5 km SW of Cobb, California",USA
2012/01/19 01:38:55,30.888,-114.169,8.0,4.0,"65 km ESE of San Felipe, Mexico",USA
2012/01/20 07:05:55,46.629,-113.555,11.4,3.3,"19 km SE of Clinton, Montana",USA
2012/01/22 00:39:51,30.289,-114.141,10.0,4.6,"105 km SE of San Felipe, Mexico",USA
2012/01/22 05:59:46,46.3716667,-75.125,10.0,3.1,"20 km NW of La Minerve, Canada",USA
