,Fecha detectado el terremoto,longitud,latitud,Magnitud,profundidad,lugar
0,2023/05/22 13:18,29.9N,130.0E,2.5,Poco profundo,Mares cercanos de Islas Tokara
1,2023/05/22 12:10,34.5N,139.2E,3.0,10km,"Mares cercanas de Isla Niijima, Kozujima"
2,2023/05/22 11:47,34.5N,139.2E,2.9,10km,"Mares cercanas de Isla Niijima, Kozujima"
3,2023/05/22 10:54,34.5N,139.3E,2.8,10km,"Mares cercanas de Isla Niijima, Kozujima"
4,2023/05/22 10:53,34.5N,139.2E,4.0,10km,"Mares cercanas de Isla Niijima, Kozujima"
5,2023/05/22 09:56,37.5N,137.2E,2.2,10km,"Región Noto, Prefectura de Ishikawa"
6,2023/05/22 09:52,37.5N,137.3E,3.0,20km,"Región Noto, Prefectura de Ishikawa"
7,2023/05/22 09:38,37.5N,137.2E,2.5,10km,"Región Noto, Prefectura de Ishikawa"
8,2023/05/22 08:19,37.8N,141.7E,4.1,60km,Alta mar de Prefectura de Fukushima
9,2023/05/22 07:47,37.5N,137.3E,1.7,Poco profundo,"Región Noto, Prefectura de Ishikawa"
10,2023/05/22 07:20,29.8N,129.5E,5.4,190km,Mares cercanos de Islas Tokara
11,2023/05/22 00:20,37.6N,137.3E,4.0,10km,Alta mar de Península de Noto
12,2023/05/21 23:31,30.0N,130.0E,2.2,Poco profundo,Mares cercanos de Islas Tokara
13,2023/05/21 20:52,29.9N,130.1E,2.3,10km,Mares cercanos de Islas Tokara
14,2023/05/21 20:14,37.5N,137.3E,2.8,10km,"Región Noto, Prefectura de Ishikawa"
15,2023/05/21 18:40,43.6N,146.6E,4.7,30km,Alta mar este de Hokkaido
16,2023/05/21 17:01,29.9N,130.0E,2.7,20km,Mares cercanos de Islas Tokara
17,2023/05/21 16:03,37.2N,141.4E,3.7,20km,Alta mar de Prefectura de Fukushima
18,2023/05/21 15:21,36.1N,137.7E,2.7,10km,Centro de Prefectura de Nagano
19,2023/05/21 11:22,39.6N,142.1E,3.6,50km,Alta mar de Prefectura de Iwate
20,2023/05/21 10:38,40.7N,141.2E,2.9,10km,"Región de Sanpachi-Kamikita, Prefectura de Aomori"
21,2023/05/21 04:37,35.9N,140.5E,3.7,40km,Nodeste de Prefectura de Chiba
22,2023/05/21 03:46,37.5N,137.3E,2.2,10km,"Región Noto, Prefectura de Ishikawa"
